ident,latitude_deg,longitude_deg,iso_country
1A,52.55889892578125,-55.78219985961914,CA
1B,43.93059921264648,-60.02289962768555,CA
1CD,49.05720138549805,-123.87200164794922,CA
1D,52.775001525878906,-56.124000549316406,CA
1E,53.46670150756836,-55.78739929199219,CA
1F,47.63059997558594,-65.74469757080078,CA
1K,59.02330017089844,-118.84300231933594,CA
1S,60.31890106201172,-103.12899780273438,CA
1T,53.31330108642578,-110.08000183105467,CA
1U,54.031700134277344,-132.1269989013672,CA
1W,55.54330062866211,-102.2760009765625,CA
2A,56.79389953613281,-98.904296875,CA
2B,49.4900016784668,-56.18470001220703,CA
2F,47.63140106201172,-65.74440002441406,CA
2H,49.0372009277,-77.0207977295,CA
2J,49.01750183105469,-118.42400360107422,CA
2K,53.03219985961914,-112.81300354003906,CA
2K,53.03279876708984,-112.81400299072266,CA
2M,52.60309982299805,-90.37439727783205,CA
2Q,46.602500915527344,-75.47059631347656,CA
2S,55.395599365234375,-116.48400115966795,CA
2T,47.71500015258789,-64.88580322265625,CA
2U,55.3036003112793,-123.13700103759766,CA
2Z,64.51000213623047,-110.30699920654295,CA
2Z,64.50830078125,-110.30699920654295,CA
3D,53.95719909667969,-102.2969970703125,CA
3F,55.4838981628418,-107.93099975585938,CA
3H,52.02280044555664,-110.74600219726562,CA
3I,58.798301696777344,-121.34500122070312,CA
3M,53.26639938354492,-114.95500183105467,CA
3N,49.6963996887207,-103.8040008544922,CA
3P,58.23690032958984,-132.1959991455078,CA
3R,54.907501220703125,-59.79690170288086,CA
3X,58.36029815673828,-109.5250015258789,CA
3Y,55.71060180664063,-117.0999984741211,CA
3Z,50.764198303222656,-101.2959976196289,CA
3Z,49.825801849365234,-112.1780014038086,CA
4A,64.6980972290039,-110.60900115966795,CA
4B,52.0442008972168,-95.46189880371094,CA
4D,59.4213981628418,-120.78900146484376,CA
4G,54.610801696777344,-97.7664031982422,CA
4H,58.26919937133789,-104.08000183105467,CA
4J,54.88330078125,-94.8000030517578,CA
4K,53.845001220703125,-94.84940338134766,CA
4L,42.31230163574219,-82.07769775390625,CA
4M,54.16889953613281,-93.56320190429688,CA
4N,54.9286003112793,-95.28250122070312,CA
4O,54.67499923706055,-115.42400360107422,CA
4Q,57.88610076904297,-101.677001953125,CA
4T,55.85929870605469,-92.08599853515624,CA
4V,58.61830139160156,-101.47000122070312,CA
4W,56.03749847412109,-96.51280212402344,CA
4X,50.29029846191406,-96.01419830322266,CA
4Y,57.25419998168945,-105.62200164794922,CA
5B,46.39690017700195,-63.88169860839844,CA
5F,54.37939834594727,-116.76000213623048,CA
5J,52.07440185546875,-111.447998046875,CA
5L,61.66469955444336,-73.29190063476562,CA
5M,49.8372001648,-114.884002686,CA
5O,54.84189987182617,-94.06909942626952,CA
5Q,54.560001373291016,-71.17109680175781,CA
5U,58.40250015258789,-115.95099639892578,CA
5V,51.50249862670898,-112.7509994506836,CA
5W,56.51169967651367,-99.98390197753906,CA
5Y,45.61180114746094,-62.625099182128906,CA
6E,44.715599060058594,-66.80220031738281,CA
6F,52.520301818847656,-56.29520034790039,CA
6G,52.18119812011719,-113.88300323486328,CA
6K,50.34999847412109,-119.26000213623048,CA
6M,44.19499969482422,-77.30829620361328,CA
6Q,58.06969833374024,-104.53900146484376,CA
6X,56.08829879760742,-96.0969009399414,CA
6Z,56.47829818725586,-109.4010009765625,CA
7B,42.77090072631836,-81.10569763183594,CA
7C,49.661598205566406,-54.24509811401367,CA
7D,52.847801208496094,-102.18699645996094,CA
7F,58.22829818725586,-103.68299865722656,CA
7H,47.138301849365234,-55.32500076293945,CA
7J,52.57640075683594,-112.08599853515624,CA
7L,48.91059875488281,-79.17890167236328,CA
7P,48.70840072631836,-80.73590087890625,CA
7V,53.32109832763672,-117.75499725341795,CA
8A,49.645599365234375,-102.28099822998048,CA
8C,56.07559967041016,-118.44100189208984,CA
8F,45.422000885009766,-63.459598541259766,CA
8G,52.30830001831055,-112.75399780273438,CA
8H,53.99190139770508,-111.39099884033205,CA
8J,52.332801818847656,-110.27300262451172,CA
8J,52.33359909057617,-110.27300262451172,CA
8K,55.034400939941406,-117.28900146484376,CA
8M,53.89030075073242,-110.76799774169922,CA
8N,53.5807991027832,-116.45500183105467,CA
9A,51.62779998779297,-111.9010009765625,CA
9G,51.77999877929688,-114.68299865722656,CA
9H,53.57379913330078,-76.20079803466797,CA
9Q,48.55759811401367,-78.24310302734375,CA
9S,49.83560180664063,-124.4990005493164,CA
9X,50.63219833374024,-111.9219970703125,CA
9Y,49.52330017089844,-113.9990005493164,CA
9Z,54.14310073852539,-113.7480010986328,CA
A1,62.59469985961914,-111.5189971923828,CA
A5,57.54499816894531,-119.11100006103516,CA
A9,44.22700119018555,-64.8584976196289,CA
AA,47.0093002319336,-96.81520080566406,US
AA,33.53300094604492,-82.6144027709961,US
AAA,40.160099029541016,-89.33779907226562,US
AAF,29.72330093383789,-85.0280990600586,US
AAU,40.96329879760742,-82.25340270996094,US
AB,31.456100463867188,-84.27619934082031,US
AB,32.29890060424805,-99.67420196533205,US
AB,45.38600158691406,-98.32839965820312,US
AB,40.58580017089844,-75.54959869384766,US
ABB,38.58879852294922,-85.63600158691406,US
ABG,32.58539962768555,-95.11299896240234,US
